,Commodity,State,STATION,YEAR,MONTH,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN,SC_Group_ID,SC_Group_Desc,SC_GroupCommod_ID,SC_Geography_ID,SortOrder,SC_GeographyIndented_Desc,SC_Commodity_ID,SC_Commodity_Desc,SC_Attribute_ID,SC_Attribute_Desc,SC_Unit_ID,SC_Unit_Desc,SC_Frequency_ID,SC_Frequency_Desc,Timeperiod_Desc,Amount,date,CPI
1418,Barley,ID,USC00109303,1989,1,21,2,2.0,4,2.0,0.09,44.0,0.2,4.0,23.2,32.2,14.1,1,Prices,9,1,0.8,United States,1,Barley,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.74,1989-01-01,121.2
1419,Barley,ID,USC00109303,1989,1,21,2,2.0,4,2.0,0.09,44.0,0.2,4.0,23.2,32.2,14.1,1,Prices,9,1,0.8,United States,14,Barley malting,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,3.32,1989-01-01,121.2
1420,Barley,ID,USC00109303,1989,1,21,2,2.0,4,2.0,0.09,44.0,0.2,4.0,23.2,32.2,14.1,1,Prices,9,1,0.8,United States,13,Barley feed,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.28,1989-01-01,121.2
1421,Barley,ID,USC00109303,1989,2,11,3,-11.0,2,1.0,0.09,52.0,0.4,4.2,24.7,32.6,16.7,1,Prices,9,1,0.8,United States,1,Barley,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.67,1989-02-01,121.6
1422,Barley,ID,USC00109303,1989,2,11,3,-11.0,2,1.0,0.09,52.0,0.4,4.2,24.7,32.6,16.7,1,Prices,9,1,0.8,United States,14,Barley malting,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,3.22,1989-02-01,121.6
1423,Barley,ID,USC00109303,1989,2,11,3,-11.0,2,1.0,0.09,52.0,0.4,4.2,24.7,32.6,16.7,1,Prices,9,1,0.8,United States,13,Barley feed,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.29,1989-02-01,121.6
1424,Barley,ID,USC00109303,1989,3,1,1,13.0,1,2.0,0.6,66.0,2.56,2.7,40.1,49.3,30.9,1,Prices,9,1,0.8,United States,1,Barley,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.74,1989-03-01,122.2
1425,Barley,ID,USC00109303,1989,3,1,1,13.0,1,2.0,0.6,66.0,2.56,2.7,40.1,49.3,30.9,1,Prices,9,1,0.8,United States,14,Barley malting,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,3.22,1989-03-01,122.2
1426,Barley,ID,USC00109303,1989,3,1,1,13.0,1,2.0,0.6,66.0,2.56,2.7,40.1,49.3,30.9,1,Prices,9,1,0.8,United States,13,Barley feed,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.35,1989-03-01,122.2
1427,Barley,ID,USC00109303,1989,4,0,0,25.0,0,0.5,0.23,79.0,0.46,0.5,49.7,62.8,36.5,1,Prices,9,1,0.8,United States,1,Barley,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.73,1989-04-01,123.1
