,Commodity,State,STATION,YEAR,MONTH,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN,SC_Group_ID,SC_Group_Desc,SC_GroupCommod_ID,SC_Geography_ID,SortOrder,SC_GeographyIndented_Desc,SC_Commodity_ID,SC_Commodity_Desc,SC_Attribute_ID,SC_Attribute_Desc,SC_Unit_ID,SC_Unit_Desc,SC_Frequency_ID,SC_Frequency_Desc,Timeperiod_Desc,Amount,date,CPI
3323,Corn,OH,USC00339312,1989,1,6,1,11.0,4,2.0,0.43,58.0,1.69,2.0,34.1,42.7,25.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.6,1989-01-01,121.2
3324,Corn,OH,USC00339312,1989,2,12,0,3.0,2,0.7,0.63,61.0,2.35,4.4,25.2,32.0,18.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.59,1989-02-01,121.6
3325,Corn,OH,USC00339312,1989,3,7,5,12.0,5,3.0,0.7,78.0,3.93,9.0,39.4,50.2,28.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.6,1989-03-01,122.2
3326,Corn,OH,USC00339312,1989,4,2,0,21.0,2,0.5,0.63,73.0,2.2,0.5,45.4,55.7,35.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.56,1989-04-01,123.1
3327,Corn,OH,USC00339312,1989,5,0,0,34.0,0,0.3,1.35,84.0,5.99,0.3,56.5,64.9,48.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.58,1989-05-01,123.7
3328,Corn,OH,USC00339312,1989,6,0,0,46.0,0,0.0,1.95,89.0,8.69,0.0,67.7,76.9,58.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.52,1989-06-01,124.1
3329,Corn,OH,USC00339312,1989,7,0,0,51.0,0,0.0,0.77,92.0,2.05,0.0,72.7,82.4,62.9,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.47,1989-07-01,124.5
3330,Corn,OH,USC00339312,1989,8,0,0,46.0,0,0.0,0.41,87.0,1.16,0.0,69.2,80.4,58.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.27,1989-08-01,124.5
3331,Corn,OH,USC00339312,1989,9,0,0,33.0,0,0.0,2.24,86.0,5.51,0.0,62.9,73.1,52.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.29,1989-09-01,124.8
3332,Corn,OH,USC00339312,1989,10,1,1,27.0,2,2.0,0.76,81.0,3.22,2.0,52.1,63.5,40.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.22,1989-10-01,125.4
