ï..Commodity,State,STATION,YEAR,MONTH,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN,SC_Group_ID,SC_Group_Desc,SC_GroupCommod_ID,SC_Geography_ID,SortOrder,SC_GeographyIndented_Desc,SC_Commodity_ID,SC_Commodity_Desc,SC_Attribute_ID,SC_Attribute_Desc,SC_Unit_ID,SC_Unit_Desc,SC_Frequency_ID,SC_Frequency_Desc,Timeperiod_Desc,Amount
Sorghum,KS,USC00143527,1989,1,0,0,8,0,0,0.03,72,0.06,0,34.4,49.9,19,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.2904
Sorghum,KS,USC00143527,1989,2,0,0,-5.395218003,0,0,0.385907173,53.5302391,0.9603516,0,24.5140647,34.03305204,14.99479606,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.268
Sorghum,KS,USC00143527,1989,3,0,0,4.916208791,0,0,0.38,84,0.58,0,35.25288462,55.5,24.70164835,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.2624
Sorghum,KS,USC00143527,1989,4,0,0,20,0,0,0.07,107,0.12,0,58.5,74.7,42.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.3576
Sorghum,KS,USC00143527,1989,5,0,0,28,0,0,1.26,97,2.09,0,65,77.3,52.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.2568
Sorghum,KS,USC00143527,1989,6,0,0,42,0,0,0.82,101,3.89,0,68.6,79.2,58.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.184
Sorghum,KS,USC00143527,1989,7,0,0,56,0,0,1.7,105,4.44,0,77.3,90.1,64.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.24
Sorghum,KS,USC00143527,1989,8,0,0,45,0,0,0.52,109,1.3,0,76,87.9,64.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.1336
Sorghum,KS,USC00143527,1989,9,0,0,32,0,0,1.85,101,3.24,0,65.1,78,52.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.128
Sorghum,KS,USC00143527,1989,10,0,0,20,0,0,1.62,96,1.85,0,57.4,73.4,41.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.0216
Sorghum,KS,USC00143527,1989,11,0,0,9,0,0,0.01,79,0.01,0,42.8,58.9,26.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.0608
Sorghum,KS,USC00143527,1989,12,1,0,-6.205797101,1,0,0.469028986,71,1.306971,0,23.99043478,38.3,15.33391304,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.9824
Sorghum,KS,USC00143527,1990,1,17,3,8,7,6.5,0.39,76,0.91,10,32.7,45.8,19.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.0048
