,Commodity,State,STATION,YEAR,MONTH,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN,SC_Group_ID,SC_Group_Desc,SC_GroupCommod_ID,SC_Geography_ID,SortOrder,SC_GeographyIndented_Desc,SC_Commodity_ID,SC_Commodity_Desc,SC_Attribute_ID,SC_Attribute_Desc,SC_Unit_ID,SC_Unit_Desc,SC_Frequency_ID,SC_Frequency_Desc,Timeperiod_Desc,Amount,date,CPI
367,Oats,SD,USC00395090,1989,1,0,1,-12.0,0,1.0,0.03,58.0,0.05,2.0,22.8,34.1,11.6,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.52,1989-01-01,121.2
369,Oats,SD,USC00395090,1989,2,0,3,-5.395218002999999,0,2.5,0.12,56.0,0.17,5.8,24.5140647,18.3,14.99479606,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.46,1989-02-01,121.6
371,Oats,SD,USC00395090,1989,3,0,6,-7.0,0,4.0,0.75,73.0,1.82,18.2,28.0,36.5,19.4,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.41,1989-03-01,122.2
373,Oats,SD,USC00395090,1989,4,0,0,16.0,0,0.5,0.41,85.0,1.22,0.5,46.8,58.2,35.4,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.24,1989-04-01,123.1
375,Oats,SD,USC00395090,1989,5,0,0,31.0184136,0,0.0,0.36,86.60764873,1.06,0.0,57.07889518,69.10609065,45.05453258,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.13,1989-05-01,123.7
377,Oats,SD,USC00395090,1989,6,0,0,36.0,0,0.0,1.55,99.0,3.57,0.0,66.5,78.4,54.6,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.82,1989-06-01,124.1
379,Oats,SD,USC00395090,1989,7,0,0,55.0,0,0.0,2.0,100.0,3.78,0.0,74.7,86.2,63.1,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,1.53,1989-07-01,124.5
381,Oats,SD,USC00395090,1989,8,0,0,49.0,0,0.0,0.68,94.0,1.62,0.0,70.9,82.5,59.3,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,1.47,1989-08-01,124.5
383,Oats,SD,USC00395090,1989,9,0,0,29.0,0,0.0,0.95,87.0,3.36,0.0,60.8,73.2,48.4,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.38,1989-09-01,124.8
385,Oats,SD,USC00395090,1989,10,0,0,18.0,0,0.0,1.44,86.0,1.44,0.0,49.9,64.9,34.9,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.47,1989-10-01,125.4
387,Oats,SD,USC00395090,1989,11,1,0,-1.0,3,0.3,0.38,67.0,1.17,0.3,29.8,38.8,20.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.48,1989-11-01,125.9
389,Oats,SD,USC00395090,1989,12,0,2,-28.0,0,1.0,0.05,46.0,0.1,2.0,10.5,20.5,0.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.53,1989-12-01,126.3
